Home,Average_Score_gols_H,Average_Conceding_gols_H,Average_xG_H,Average_ShotsTotal_H,Average_ShotsTarget_H,Average_Possession_H,Average_PassTotal_H,Average_SaveTotal_H,Average_SaveCompleted_H,Average_Corners_H,Home_General_Avg_Score_gols,Home_General_Avg_Conceding_gols,Home_General_Avg_xG,Home_General_Avg_ShotsTotal,Home_General_Avg_ShotsTarget,Home_General_Avg_Possession,Home_Recent_Form
Criciúma,0.21052631578947367,0.46153846153846145,0.23076923076923078,0.4285714285714286,0.25,0.3099415204678364,0.31487179487179495,0.5882352941176469,0.5555555555555556,0.44897959183673475,0.17647058823529413,0.45,0.25806451612903225,0.3557692307692308,0.42222222222222217,0.2831050228310501,0.06666666666666667
Cruzeiro,0.3684210526315789,0.23076923076923073,0.3589743589743589,0.3928571428571429,0.5555555555555556,0.5087719298245614,0.40205128205128204,0.7058823529411764,0.8148148148148149,0.3877551020408164,0.35294117647058826,0.1,0.4435483870967743,0.28846153846153844,0.5555555555555556,0.4657534246575342,0.7333333333333333
Cuiabá,0.15789473684210525,0.3846153846153846,0.0854700854700855,0.0357142857142857,0.16666666666666669,0.19298245614035103,0.23589743589743595,0.41176470588235287,0.4074074074074075,0.14285714285714288,0.17647058823529413,0.3,0.185483870967742,0.14423076923076922,0.19999999999999998,0.26940639269406386,0.13333333333333333
Flamengo,0.3684210526315789,0.3076923076923077,0.5555555555555556,0.4642857142857143,0.36111111111111105,0.736842105263158,0.6846153846153846,0.49999999999999994,0.5555555555555556,0.3673469387755103,0.6470588235294118,0.25,0.6370967741935484,0.5673076923076923,0.4666666666666667,0.7990867579908677,0.6666666666666666
Fluminense,0.3684210526315789,0.0,0.32478632478632496,0.30952380952380953,0.44444444444444453,0.5847953216374266,0.6005128205128205,0.0,0.037037037037037035,0.3877551020408164,0.17647058823529413,0.2,0.338709677419355,0.4519230769230769,0.4444444444444444,0.7442922374429221,0.6
Fortaleza,0.15789473684210525,0.3076923076923077,0.2991452991452992,0.5000000000000001,0.38888888888888884,0.4385964912280702,0.38256410256410245,0.4411764705882352,0.4444444444444444,0.4693877551020409,0.17647058823529413,0.25,0.3629032258064516,0.5288461538461537,0.5777777777777777,0.2831050228310501,0.3333333333333333
Goiás,0.10526315789473684,0.3846153846153846,0.1538461538461539,0.30952380952380953,0.25,0.26900584795321647,0.17846153846153834,0.5882352941176469,0.5925925925925927,0.40816326530612257,0.11764705882352942,0.35,0.217741935483871,0.4615384615384615,0.39999999999999997,0.5981735159817351,0.0
Grêmio,0.42105263157894735,0.3076923076923077,0.6153846153846154,0.40476190476190477,0.44444444444444453,0.38011695906432785,0.36923076923076925,0.4705882352941176,0.4814814814814815,0.22448979591836735,0.29411764705882354,0.4,0.5483870967741936,0.5096153846153846,0.37777777777777777,0.3835616438356164,0.4
Internacional,0.3157894736842105,0.3076923076923077,0.7692307692307693,0.38095238095238104,0.4722222222222223,0.5204678362573101,0.42717948717948717,0.2647058823529411,0.22222222222222227,0.30612244897959195,0.11764705882352942,0.15,0.46774193548387105,0.43269230769230765,0.42222222222222217,0.5570776255707762,0.26666666666666666
Juventude,0.15789473684210525,0.6153846153846154,0.17948717948717957,0.33333333333333337,0.25,0.28654970760233933,0.26923076923076916,0.3529411764705882,0.22222222222222227,0.3673469387755103,0.23529411764705885,0.5,0.2741935483870968,0.43269230769230765,0.3333333333333333,0.3561643835616438,0.2
Mirassol,0.42105263157894735,0.23076923076923073,0.5042735042735044,0.23809523809523814,0.38888888888888884,0.5263157894736843,0.45333333333333337,0.32352941176470584,0.3333333333333334,0.48979591836734704,0.4705882352941177,0.15,0.6370967741935485,0.44230769230769224,0.4444444444444444,0.6849315068493148,0.6666666666666666
Palmeiras,0.7894736842105263,0.23076923076923073,0.6324786324786326,0.5833333333333334,0.861111111111111,0.6783625730994154,0.49230769230769234,0.32352941176470584,0.3703703703703704,0.3673469387755103,0.7647058823529412,0.25,0.588709677419355,0.7403846153846152,0.8888888888888888,0.6940639269406393,0.6666666666666666
RB Bragantino,0.3684210526315789,0.6153846153846154,0.5384615384615384,0.38095238095238104,0.33333333333333337,0.36257309941520477,0.36461538461538456,0.7352941176470587,0.6666666666666667,0.22448979591836735,0.17647058823529413,0.55,0.435483870967742,0.4230769230769231,0.26666666666666666,0.4931506849315067,0.2
Santos,0.21052631578947367,0.23076923076923073,0.3846153846153846,0.48809523809523825,0.3055555555555556,0.5380116959064329,0.41897435897435886,0.02941176470588236,0.0,0.326530612244898,0.35294117647058826,0.4,0.6048387096774195,0.625,0.5777777777777777,0.680365296803653,0.3333333333333333
Sport Recife,0.21052631578947367,0.5384615384615383,0.2136752136752137,0.2857142857142857,0.2222222222222222,0.368421052631579,0.2323076923076921,0.6176470588235292,0.5925925925925927,0.30612244897959195,0.11764705882352942,0.5,0.33870967741935487,0.4230769230769231,0.3333333333333333,0.5342465753424656,0.06666666666666667
São Paulo,0.3157894736842105,0.46153846153846145,0.3504273504273504,0.29761904761904767,0.25,0.5204678362573096,0.46974358974358976,0.4411764705882352,0.4074074074074075,0.22448979591836735,0.35294117647058826,0.35,0.411290322580645,0.4615384615384615,0.39999999999999997,0.6301369863013696,0.4666666666666667
Vasco da Gama,0.5263157894736843,0.46153846153846145,0.5726495726495728,0.4285714285714286,0.5277777777777778,0.690058479532164,0.5794871794871794,0.4411764705882352,0.4074074074074075,0.18367346938775517,0.4117647058823529,0.25,0.4435483870967742,0.44230769230769224,0.4666666666666667,0.5388127853881276,0.6
Vitória,0.15789473684210525,0.23076923076923073,0.44444444444444453,0.16666666666666663,0.1388888888888889,0.17543859649122795,0.08461538461538454,0.5294117647058822,0.5925925925925927,0.34693877551020413,0.29411764705882354,0.25,0.5806451612903227,0.3269230769230769,0.37777777777777777,0.33333333333333326,0.6
